"project","class","avg_ccn","sum_string_args","sum_number_args"
"Geometry","org.apache.commons.geometry.euclidean.threed.mesh.SimpleTriangleMesh$FuzzyVectorComparator",2,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.mesh.SimpleTriangleMesh$SimpleTriangleFace",1,0,1
"Geometry","org.apache.commons.geometry.euclidean.threed.mesh.TriangleMesh",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Plane",1.55,0,1
"Geometry","org.apache.commons.geometry.euclidean.threed.PlaneConvexSubset",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.PlaneConvexSubsetTest",1.33333333333333,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Planes",2.1304347826087,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Planes$PlaneBuilder",3.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Planes$PlaneRegionExtruder",3.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.PlanesTest",2.75,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.PlaneSubset",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.PlaneTest",1.5,0,1
"Geometry","org.apache.commons.geometry.euclidean.threed.RegionBSPTree3D",1.25,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.RegionBSPTree3D$BoundaryProjector3D",1.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.RegionBSPTree3D$LinecastVisitor",4.25,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.RegionBSPTree3D$PartitionedRegionBuilder3D",1.25,0,2
"Geometry","org.apache.commons.geometry.euclidean.threed.RegionBSPTree3D$RegionNode3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.RegionBSPTree3D$RegionSizePropertiesVisitor",4,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.RegionBSPTree3DTest",1.41666666666667,0,10
"Geometry","org.apache.commons.geometry.euclidean.threed.rotation.AxisAngleSequence",2.75,0,9
"Geometry","org.apache.commons.geometry.euclidean.threed.rotation.AxisSequence",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.rotation.AxisSequenceTest",2.5,1,0
