file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/LineSubset3D.java,org.apache.commons.geometry.euclidean.threed.line.LineSubset3D,class,7,7,1,2,9,0.2857143,0.2857143,7,0,6,0,0,1,7,3,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,0,0,1,0,1,0,0,0,0,57,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/Line3D.java,org.apache.commons.geometry.euclidean.threed.line.Line3D,class,13,34,1,41,188,0.26600984,0.2955665,29,0,28,0,0,1,29,0,0,0,4,1,0,3,0,1,4,0,17,144,32,0,1,0,4,1,3,27,6,27,1,0,1,0,252,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/Line3D.java,org.apache.commons.geometry.euclidean.threed.line.Line3D$SubspaceTransform,innerclass,2,3,1,0,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,37,25,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/LineSpanningSubset3D.java,org.apache.commons.geometry.euclidean.threed.line.LineSpanningSubset3D,class,7,13,3,7,78,0.0,0.0,13,0,11,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,1,42,12,0,0,0,0,0,0,1,0,1,0,0,0,0,56,16,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/Ray3D.java,org.apache.commons.geometry.euclidean.threed.line.Ray3D,class,8,15,3,15,93,0.057142857,0.057142857,15,0,12,0,0,3,15,0,0,0,1,0,0,1,0,0,1,0,0,53,13,0,0,0,0,2,0,4,0,4,0,0,0,0,80,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/ReverseRay3D.java,org.apache.commons.geometry.euclidean.threed.line.ReverseRay3D,class,8,14,3,15,79,0.06593407,0.06593407,14,0,11,0,0,3,14,0,0,0,1,0,0,1,0,0,1,0,0,50,12,0,0,0,0,2,0,4,0,4,0,0,0,0,79,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/Lines3D.java,org.apache.commons.geometry.euclidean.threed.line.Lines3D,class,12,27,1,21,120,0.0,0.0,16,15,15,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,28,84,18,0,0,0,0,5,1,11,2,11,2,0,0,0,150,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/LineConvexSubset3D.java,org.apache.commons.geometry.euclidean.threed.line.LineConvexSubset3D,class,6,13,2,9,78,0.0,0.0,13,0,11,0,0,2,13,9,0,0,0,0,0,0,0,0,0,0,1,26,3,0,0,0,0,0,0,3,0,3,0,0,0,0,81,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/EmbeddedTreeLineSubset3D.java,org.apache.commons.geometry.euclidean.threed.line.EmbeddedTreeLineSubset3D,class,15,14,2,29,0,0.62222224,0.62222224,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,5,54,8,1,1,0,0,3,0,12,0,12,1,0,0,0,90,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/threed/line/LinecastPoint3D.java,org.apache.commons.geometry.euclidean.threed.line.LinecastPoint3D,class,6,10,2,20,6,0.0,0.0,4,2,3,1,0,0,3,0,0,0,1,1,1,0,0,0,1,0,2,46,4,2,1,0,0,0,1,9,0,9,2,0,0,1,113,1,0
