file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/BoundaryProjection.java,org.apache.commons.math3.geometry.partitioning.BoundaryProjection,class,2,4,1,0,0,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,65,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/BoundaryProjector.java,org.apache.commons.math3.geometry.partitioning.BoundaryProjector,class,15,24,1,21,20,0.8,1.0,9,0,4,4,0,1,5,0,0,0,4,0,0,4,0,0,1,0,3,81,6,2,6,0,2,4,4,24,0,17,5,0,0,0,81,0,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/Region.java,org.apache.commons.math3.geometry.partitioning.Region$Location,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/Region.java,org.apache.commons.math3.geometry.partitioning.Region,interface,9,15,1,0,105,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,293,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/Transform.java,org.apache.commons.math3.geometry.partitioning.Transform,interface,5,3,1,0,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/NodesSet.java,org.apache.commons.math3.geometry.partitioning.NodesSet,class,3,7,1,3,0,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,22,2,2,1,0,0,0,0,1,0,1,2,0,0,0,30,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/AbstractRegion.java,org.apache.commons.math3.geometry.partitioning.AbstractRegion$Anonymous2,anonymous,3,5,1,3,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,2,0,0,0,0,0,0,0,1,0,0,0,7,-1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/AbstractRegion.java,org.apache.commons.math3.geometry.partitioning.AbstractRegion$Anonymous1,anonymous,2,3,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,3,0,3,2,0,2,0,0,0,0,5,-1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/AbstractRegion.java,org.apache.commons.math3.geometry.partitioning.AbstractRegion,class,23,72,1,54,319,0.19312169,0.4047619,31,0,19,3,9,0,28,2,0,0,4,0,0,4,0,0,1,0,0,260,31,5,24,0,15,3,3,45,0,32,4,2,0,0,239,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-math/src/main/java/org/apache/commons/math3/geometry/partitioning/Characterization.java,org.apache.commons.math3.geometry.partitioning.Characterization,class,8,19,1,18,13,0.3809524,1.0,10,0,6,3,0,1,7,0,0,0,4,0,0,4,0,0,2,0,0,80,6,0,5,0,0,0,1,11,1,7,2,0,0,0,104,0,0
